season,episode,rating,seasons
1,1,3.5,1
2,1,3.43,2
3,1,2.55,3
4,1,1.83,4
5,1,1.37,5
6,1,0.78,6
1,2,2.48,1
2,2,3.25,2
3,2,1.97,3
4,2,1.84,4
5,2,1.34,5
6,2,0.78,6
1,3,2.75,1
2,3,3.73,2
3,3,2.36,3
4,3,1.78,4
5,3,1.27,5
6,3,0.95,6
1,4,2.8,1
2,4,3.33,2
3,4,2.08,3
4,4,2,4
5,4,1.16,5
6,4,0.66,6
1,5,2.41,1
2,5,3.4,2
3,5,2.36,3
4,5,1.78,4
5,5,1.36,5
6,5,0.73,6
1,6,2.54,1
2,6,3.31,2
3,6,1.98,3
4,6,1.88,4
5,6,1.26,5
6,6,0.72,6
1,7,2.52,1
2,7,3.03,2
3,7,2.31,3
4,7,1.82,4
5,7,1.24,5
6,7,0.84,6
1,8,2.95,1
2,8,3.05,2
3,8,1.98,3
4,8,1.78,4
5,8,1.35,5
6,8,0.79,6
1,9,2.93,1
2,9,3.16,2
3,9,2.37,3
4,9,1.69,4
5,9,1.32,5
6,9,1.06,6
1,10,2.44,1
2,10,2.88,2
3,10,2.24,3
4,10,1.96,4
5,10,1.28,5
6,10,1.55,6
1,11,1.81,1
2,11,2.89,2
3,11,2.23,3
4,11,2.06,4
5,11,1.29,5
1,12,2.19,1
2,12,3.11,2
3,12,2.21,3
4,12,1.58,4
5,12,1.11,5
1,13,2.27,1
2,13,2.99,2
3,13,1.74,3
4,13,1.51,4
5,13,1.39,5
1,14,2.5,1
2,14,2.96,2
3,14,1.73,3
4,14,1.62,4
5,14,1.25,5
1,15,2.53,1
2,15,2.85,2
3,15,1.9,3
4,15,1.32,4
5,15,1.13,5
1,16,2.12,1
2,16,2.22,2
3,16,1.69,3
4,16,1.57,4
5,16,1,5
1,17,2.71,1
2,17,2.31,2
3,17,1.74,3
4,17,1.39,4
5,17,1.11,5
1,18,3,1
2,18,2.33,2
3,18,1.86,3
4,18,1.43,4
5,18,0.97,5
2,19,2.25,2
3,19,2.05,3
4,19,1.55,4
5,19,0.98,5
2,20,2.45,2
3,20,1.74,3
4,20,1.27,4
5,20,1.06,5
2,21,2.37,2
3,21,1.79,3
4,21,1.2,4
5,21,0.99,5
2,22,1.97,2
3,22,1.96,3
4,22,1.36,4
5,22,1.02,5
2,23,2.22,2
5,23,0.83,5
2,24,2.3,2
5,24,1.14,5
2,25,2.23,2
